,ABSA,ANGLO,BIDVEST,CAPITEC,DISCOVERY,FIRSTRAND,GOLDFIELDS,MRPRICE,MTN,NASPERS,NEDBANK,SANLAM,SASOL,SHOPRITE,STANDARDBANK,VODACOM,WOOLWORTHS
ABSA,0.11475721449954752,0.03337812696899801,0.05368516610326501,0.06398024434755346,0.06474379169954479,0.08060147560764176,-0.008661364827049935,0.06348183021840266,0.05596265945537334,0.01999198725410221,0.08900279071264239,0.06519667039795961,0.05695314439218365,0.04199715485706683,0.08216054179366872,0.029425856513725396,0.05462868283754394
ANGLO,0.03337812696899801,0.17674559300143303,0.02364889232780014,0.03198005016453255,0.032473655627051984,0.03667766754796739,0.0412389805479487,0.0309254348558817,0.04340933244180087,0.039370341458032004,0.03532546738758126,0.03675107014310493,0.09192484865714595,0.019445456531600118,0.036051225409451486,0.015824195021290042,0.02581015134437102
BIDVEST,0.05368516610326501,0.02364889232780014,0.08689057762698482,0.04343394461096172,0.0482057784719562,0.05221196175752561,0.0009986671391053956,0.04971956683405753,0.0402416167737877,0.01848945262003167,0.05475754355257945,0.048778033218451436,0.039866984618425666,0.0379368058956019,0.0521566041029845,0.02692623010468812,0.045621418158328333
CAPITEC,0.06398024434755346,0.03198005016453255,0.04343394461096172,0.11719347653543465,0.05682978358253002,0.06389949498298111,0.004196575060796267,0.05026016963066246,0.0404649355470387,0.02547595451039816,0.06202886689347344,0.05463906516253497,0.037025122099699236,0.030950657529559365,0.061427777122356704,0.022696980168853374,0.04094971228140835
DISCOVERY,0.06474379169954479,0.032473655627051984,0.0482057784719562,0.05682978358253002,0.10469385168684811,0.06336531434398773,0.0028755870044170503,0.05383208651807502,0.05288169279835257,0.027394110888378963,0.06402013703227884,0.06487117339403273,0.05367442007081464,0.03853427183545069,0.061647725534582115,0.030073136420344232,0.04983499733450686
FIRSTRAND,0.08060147560764176,0.03667766754796739,0.05221196175752561,0.06389949498298111,0.06336531434398773,0.10111563746365113,-0.006147784733728795,0.06278421959202377,0.05516533956275262,0.024322586598615883,0.07937941971522289,0.06709788931529792,0.04777055117573071,0.04405783881123888,0.07813904947594755,0.03028600187301446,0.05180829949632521
GOLDFIELDS,-0.008661364827049935,0.0412389805479487,0.0009986671391053956,0.004196575060796267,0.0028755870044170503,-0.006147784733728795,0.2863575906287396,-0.0002528732039257919,0.0019709070913398433,0.0016020541730041478,-0.005854101126527602,-0.003364417991735007,0.020268755289307275,-0.0017662180452548833,-0.00725998853499133,0.0051231977972595955,-0.00016215831602834998
MRPRICE,0.06348183021840266,0.0309254348558817,0.04971956683405753,0.05026016963066246,0.05383208651807502,0.06278421959202377,-0.0002528732039257919,0.13400493854792694,0.04472400895049832,0.024508049970972386,0.0633214507498742,0.05664193650267279,0.03772346867089044,0.04786913032322293,0.058955251369569986,0.026040740180986684,0.06501480674475378
MTN,0.05596265945537334,0.04340933244180087,0.0402416167737877,0.0404649355470387,0.05288169279835257,0.05516533956275262,0.0019709070913398433,0.04472400895049832,0.17018556234277585,0.02371384403776359,0.05823760465755214,0.05393841796965134,0.0756282198306029,0.03521872978839125,0.05676178374569166,0.04495069255691705,0.04259789416001582
NASPERS,0.01999198725410221,0.039370341458032004,0.01848945262003167,0.02547595451039816,0.027394110888378963,0.024322586598615883,0.0016020541730041478,0.024508049970972386,0.02371384403776359,0.1427745068822133,0.021328489214138106,0.029649934502652867,0.030766047899916115,0.01687042711740364,0.02449914177705218,0.01458780978194137,0.023431439926635347
NEDBANK,0.08900279071264239,0.03532546738758126,0.05475754355257945,0.06202886689347344,0.06402013703227884,0.07937941971522289,-0.005854101126527602,0.0633214507498742,0.05823760465755214,0.021328489214138106,0.11276367692228045,0.0661087565581839,0.06746007803524147,0.04140530717826956,0.08379435461286765,0.02863723844802767,0.05573483887935296
SANLAM,0.06519667039795961,0.03675107014310493,0.048778033218451436,0.05463906516253497,0.06487117339403273,0.06709788931529792,-0.003364417991735007,0.05664193650267279,0.05393841796965134,0.029649934502652867,0.0661087565581839,0.09325218303280612,0.04562564184480332,0.042891449031396446,0.06529194781660952,0.03163259758008296,0.049642783835126554
SASOL,0.05695314439218365,0.09192484865714595,0.039866984618425666,0.037025122099699236,0.05367442007081464,0.04777055117573071,0.020268755289307275,0.03772346867089044,0.0756282198306029,0.030766047899916115,0.06746007803524147,0.04562564184480332,0.3195787120899133,0.027952345201300174,0.05532318037999305,0.02147517324002446,0.04054471631668487
SHOPRITE,0.04199715485706683,0.019445456531600118,0.0379368058956019,0.030950657529559365,0.03853427183545069,0.04405783881123888,-0.0017662180452548833,0.04786913032322293,0.03521872978839125,0.01687042711740364,0.04140530717826956,0.042891449031396446,0.027952345201300174,0.08941985698917865,0.0430353504658969,0.027630375214971373,0.04589142031358631
STANDARDBANK,0.08216054179366872,0.036051225409451486,0.0521566041029845,0.061427777122356704,0.061647725534582115,0.07813904947594755,-0.00725998853499133,0.058955251369569986,0.05676178374569166,0.02449914177705218,0.08379435461286765,0.06529194781660952,0.05532318037999305,0.0430353504658969,0.09807229883566913,0.02909798498612616,0.05191090401714041
VODACOM,0.029425856513725396,0.015824195021290042,0.02692623010468812,0.022696980168853374,0.030073136420344232,0.03028600187301446,0.0051231977972595955,0.026040740180986684,0.04495069255691705,0.01458780978194137,0.02863723844802767,0.03163259758008296,0.02147517324002446,0.027630375214971373,0.02909798498612616,0.05823027871459713,0.0263819913016245
WOOLWORTHS,0.05462868283754394,0.02581015134437102,0.045621418158328333,0.04094971228140835,0.04983499733450686,0.05180829949632521,-0.00016215831602834998,0.06501480674475378,0.04259789416001582,0.023431439926635347,0.05573483887935296,0.049642783835126554,0.04054471631668487,0.04589142031358631,0.05191090401714041,0.0263819913016245,0.09877742304078686
